ID,name,href,first_party,second_party,winning_party,winner_index,facts
812,"First Options of Chicago, Inc. v. Kaplan",https://api.oyez.org/cases/1994/94-560,"First Options of Chicago, Inc.",Kaplan,,,"<p>After the October 1987 stock market crash, First Options of Chicago, Inc., a firm that clears stock trades on the Philadelphia Stock Exchange, demanded that Manuel Kaplan, his wife, and his wholly owned investment company, MK Investments, Inc. (MKI) immediately pay the entire MKI debt. When First"
813,Miller v. Johnson,https://api.oyez.org/cases/1994/94-631,Miller,Johnson,,,"<p>Between 1980 and 1990, only one of Georgia's ten congressional districts was majority-black. According to the 1990 decennial census, Georgia's black population of 27% entitled blacks to an additional eleventh congressional seat, prompting Georgia's General Assembly to re-draw the state's congress"
814,"United States v. X-Citement Video, Inc.",https://api.oyez.org/cases/1994/93-723,United States,"X-Citement Video, Inc.",,,"<p>The Protection of Children Against Sexual Exploitation Act of 1977 prohibited the interstate transportation, shipping, receipt, distribution, or reproduction of visual materials containing children engaged in sexually explicit acts. Richard Gottesman, owner and manager of X-Citement Video, sold f"
815,"American Airlines, Inc. v. Wolens",https://api.oyez.org/cases/1994/93-1286,"American Airlines, Inc.",Wolens,,,"<p>In consolidated state-court class actions brought in Illinois, participants in American Airlines' frequent flyer program, AAdvantage, challenged American's retroactive changes in program terms and conditions. Specially, the participants alleged that American's imposition of capacity controls and "
816,"Adarand Constructors, Inc. v. Peña",https://api.oyez.org/cases/1994/93-1841,"Adarand Constructors, Inc.",Peña,,,"<p>Adarand, a contractor specializing in highway guardrail work, submitted the lowest bid as a subcontractor for part of a project funded by the United States Department of Transportation. Under the terms of the federal contract, the prime contractor would receive additional compensation if it hired"
817,United States v. National Treasury Employees Union,https://api.oyez.org/cases/1994/93-1170,United States,National Treasury Employees Union,,,"<p>The Ethics in Government Act of 1978, amended by the Ethics Reform Act of 1989, prohibits members of Congress, federal officers, and other government employees from accepting an honorarium for making an appearance, speech, or writing an article. The prohibition applies even when neither the subje"
818,United States v. Robert P. Aguilar,https://api.oyez.org/cases/1994/94-270,United States,Robert P. Aguilar,,,"<p>In 1986 and 1987, the FBI investigated Michael Rudy Tham and Abe Chapman as part of a nationwide investigation into healthcare provider fraud.  The judge on the case authorized a wiretap of Tham and Chapman’s phones.  He kept these wiretaps secret. Chapman was distantly related to U.S. District C"
819,Rosenberger v. Rector and Visitors of the University of Virginia,https://api.oyez.org/cases/1994/94-329,Rosenberger,Rector and Visitors of the University of Virginia,,,"<p>Ronald W. Rosenberger, a University of Virginia student, asked the University for $5,800 from a student activities fund to subsidize the publishing costs of Wide Awake: A Christian Perspective at the University of Virginia. The University refused to provide funding for the publication solely beca"
820,"Hurley v. Irish-American Gay, Lesbian and Bisexual Group of Boston, Inc.",https://api.oyez.org/cases/1994/94-749,Hurley,"Irish-American Gay, Lesbian and Bisexual Group of Boston, Inc.",,,"<p>In 1993, the South Boston Allied War Veterans Council was authorized by the city of Boston to organize the St. Patrick's Day Parade. The Council refused a place in the event for the Irish American Gay, Lesbian, and Bisexual Group of Boston (GLIB). The group attempted to join to express its member"
821,Wilson v. Arkansas,https://api.oyez.org/cases/1994/94-5707,Wilson,Arkansas,,,"<p>In 1992, Sharlene Wilson sold illicit narcotics to undercover agents of the Arkansas state police. Police officers then applied for and obtained warrants to search Ms. Wilson's home and to arrest her. When the police arrived, they found the main door to Ms. Wilson's house open. The officers opene"
822,Jerome B. Graubart Inc. v. Great Lakes Dredge & Dock Company,https://api.oyez.org/cases/1994/93-762,Jerome B. Graubart Inc.,Great Lakes Dredge & Dock Company,,,"<p>The city of Chicago hired the Great Lakes Dredge and Dock Company (Great Lakes) to perform work that would prevent ships from bumping into piers. To that end, Great Lakes used a crane to drive piles into the riverbed, which potentially weakened the structure of the freight tunnel that ran below t"
823,United States v. Lopez,https://api.oyez.org/cases/1994/93-1260,United States,Lopez,Lopez,1,"<p>Alfonzo Lopez, a 12th grade high school student, carried a concealed weapon into his San Antonio, Texas high school. He was charged under Texas law with firearm possession on school premises. The next day, the state charges were dismissed after federal agents charged Lopez with violating a federa"
824,Allied-Bruce Terminix Co. v. Dobson,https://api.oyez.org/cases/1994/93-1001,Allied-Bruce Terminix Co.,Dobson,,,"<p>In 1987, Steven Gwin, a homeowner in Birmingham, Alabama, bought a lifetime ""Termite Protection Plan"" from a local office of Allied-Bruce Terminix Company. The termite prevention contract specified that any controversy would be settled exclusively by arbitration. After the Gwins sold their house "
825,Arizona v. Isaac Evans,https://api.oyez.org/cases/1994/93-1660,Arizona,Isaac Evans,,,"<p>In January 1991, Phoenix police officer Bryan Sargent observed Isaac Evans driving the wrong way on a one-way street. Sargent directed Evans to pull over and asked to see his license. Evans informed Sargent that his license was suspended, and upon running the license, Sargent found that there was"
826,"City of Edmonds v. Oxford House, Inc.",https://api.oyez.org/cases/1994/94-23,City of Edmonds,"Oxford House, Inc.",,,"<p>In Washington State, the City of Edmonds' zoning code provides that the occupants of single-family dwelling units must compose a family, defined as ""persons related by genetics, adoption, or marriage, or a group of five or fewer [unrelated] persons."" Under the code, Oxford House, which operates a"
827,McIntyre v. Ohio Elections Commission,https://api.oyez.org/cases/1994/93-986,McIntyre,Ohio Elections Commission,,,"<p>On April 27, 1988, Margaret McIntyre distributed leaflets to persons attending a public meeting in Ohio expressing her opposition to a proposed school tax levy. Though they were independently produced, she signed them as the views of ""Concerned Parents and Tax Payers."" Mrs. McIntyre was subsequen"
828,Matthew Wayne Tome  v. United States,https://api.oyez.org/cases/1994/93-6892,Matthew Wayne Tome ,United States,,,"<p>Matthew Wayne Tome was charged with sexually abusing his daughter, who was four years old at the time of the alleged crime. Tome and the child’s mother were divorced and Tome had primary physical custody of the child, but the mother was awarded custody in 1990. The prosecution argued that the sex"
829,Vernonia School District 47J v. Acton,https://api.oyez.org/cases/1994/94-590,Vernonia School District 47J,Acton,,,"<p>An official investigation led to the discovery that high school athletes in the Vernonia School District participated in illicit drug use. School officials were concerned that drug use increases the risk of sports-related injury. Consequently, the Vernonia School District of Oregon adopted the St"
830,"Donna E. Shalala, Secretary of Health and Human Services v. Margaret Whitecotton, et al.",https://api.oyez.org/cases/1994/94-372,"Donna E. Shalala, Secretary of Health and Human Services","Margaret Whitecotton, et al.",,,"<p>On August 18, 1975, Margaret Whitecotton received her vaccine against diptheria, pertussis, and tetanus (DPT vaccination) as a four-year old. That evening and the following morning, Margaret suffered seizures that were a symptom of encephalopathy. Her parents filed a claim on her behalf and alleg"
831,Capitol Square Review and Advisory Bd. v. Pinette,https://api.oyez.org/cases/1994/94-780,Capitol Square Review and Advisory Bd.,Pinette,,,"<p>In 1993, the Ku Klux Klan organization attempted to place an unattended cross on Capitol Square, the state-house plaza in Columbus, Ohio, during the 1993 Christmas season. Ohio law makes Capitol Square a forum for discussion of public questions and for public activities, and gives the Advisory Bo"
832,"Milwaukee v. Cement Div., National Gypsum Co.",https://api.oyez.org/cases/1994/94-788,Milwaukee,"Cement Div., National Gypsum Co.",,,"<p>After a ship owned by the Cement Division of National Gypsum Co. sank in a winter storm while berthed in a slip owned by Milwaukee, National Gypsum brought an admiralty suit for damages, alleging that the city had negligently breached its duty as a wharfinger. The city denied fault and filed a co"
833,Reynoldsville Casket Co. et al. v. Hyde,https://api.oyez.org/cases/1994/94-3,Reynoldsville Casket Co. et al.,Hyde,,,"<p>A collision between a car and a truck occurred in Ohio. More than three years later, Carol Hyde, a passenger in the car, sued the truck driver and his employer for negligence in the Court of Common Pleas. Ohio had a two-year statute of limitations for such actions, but because the truck driver an"
834,Johnson v. Jones,https://api.oyez.org/cases/1994/94-455,Johnson,Jones,,,"<p>Police officers found Houston Jones, a diabetic, on the street while he was having an insulin seizure. The officers arrested Jones because he appeared drunk. Later, Jones found himself with several broken ribs. Jones brought a constitutional tort action against the officers, claiming that they us"
